"filename", "language", "JavaScript", "Vue", "comment", "blank", "total"
"d:\Employment\code\Club_Management_System\club_web\src\api\user.js", "JavaScript", 6, 0, -2, 1, 5
"d:\Employment\code\Club_Management_System\club_web\src\router\index.js", "JavaScript", 13, 0, 0, 1, 14
"d:\Employment\code\Club_Management_System\club_web\src\views\club\clubList.vue", "Vue", 0, 13, 0, -1, 12
"d:\Employment\code\Club_Management_System\club_web\src\views\user\settings\account.vue", "Vue", 0, 104, 2, 5, 111
"d:\Employment\code\Club_Management_System\club_web\src\views\user\settings\notification.vue", "Vue", 0, 132, 0, 9, 141
"d:\Employment\code\Club_Management_System\club_web\src\views\user\userInfo.vue", "Vue", 0, 44, 0, 0, 44
"Total", "-", 19, 293, 0, 15, 327
